content,score
"Приложение полнейший бред, ни через иин (одноразовый пароль) не зашел ни через эцп не заходит пишет что путь к сертификату пуст что за??? Кто следит за приложением? Что за вы полнейшая бред сделали если оно толком не работает.",5
"Я не могу зарегистрироваться в приложении, как дело доходит до логина и пароли, пишет что ошибка! В ЦОН звонил сказали что с моим ИННОМ и номером все нормально, видимо в приложении проблема! Админ сделайте что не будь!!",5
"Не рекомендую скачивать это приложение. Информация об пенсионных отчислениях поступает с опозданием в три месяца. За всё время использования пришлось сделать один запрос и он до сих пор висит в обработке. Приложение страшно зависает, набранный текст появляется на экране спустя 1-2 минуты. Сайт егов работает отлично а приложение никакое.",1
"Подал заявку на выпуск водительского удостоверения через десктоп. Отправил фото, образец подписи, оплатил услугу и на этапе подписания - ПРОВАЛ. У меня никогда не было ЭЦП. Хорошо, думаю подпишу услугу через приложение eGov Mobile. А там уже выдало: Техническая ошибка при отправке ИИС ЦОН. Попробуйте запросить ещё раз. Подавал во второй раз, опять та же ошибка. Поехал в автоцон, пару часов и документ готов. В общем далеко тут до цифровизации.",1
"Тому, кто придумал интегрировать данное приложение с браузером, который назначен по умолчанию, надо в голову ржавый гвоздь забить. Приложение ни как не могло получить доступ к камере до тех пор, пока я не настроил по умолчанию один браузер вместо другого.",1
"Выдает ошибку: "" Доменное имя сайта не является доверенным"". Проверила разрешения: имеет все разрешения. Проверила разрешения для приложения: имеет все разрешения. Очистила кэш браузера и повторила попытку, та же история. Если нужно установить какие-то сертификаты, то почему об этом не рассказывается? Нужно что ли самой быть программистом, чтобы всё работало?",1
"Совершенно бессмысленая вещь. Есть уже личный кабинет. Зачем то прислали смс о каком то уведомлении которое можно прочесть только здесь. После гемороя с установкой, выяснил что ни чего нового в уведомлениях нет. Спасибо за потраченое время.",1
Добрый день. Не могу заказать государственный номерой знак. Все нормера заняты или ещё не понятно. Сделайте дополнительный варианты для людей. Что бы люди не сидели и гадали какой номер занят. Потратил 1.5 часа так и не нашел номер. На Каспи приложение все доступно все пишется внятно понятно для людей.,1
"Отвратительно! Авторизацию невозможно пройти, так как постоянно пишет ""убедитесь что у вас однотонное освещение и свет падает на лицо"". Уже раз двадцать, наверное, я менял освещение: включал/выключал свет, поворачивался к солнцу под разными углами, даже фонариком в лицо светил результат один и тот же.",1
"Единица даже слишком много для вашего днищеского приложения. Надо 9 кругов ада пройти, чтобы элементарно войти в систему. Разработчики, вы хоть стараетесь баги как-то исправлять или чисто имитация бурной деятельности?!!!",1
"Приложение кривое, как не знаю что. Слов цензурных нехватает. Камера для регистрации/авторизации кривая. Берите пример с каспи, или хотя бы халык. Или верните авторизацию через смс.",1
"Невозможно ни перепрописаться ,ни продлить права онлайн,система не работает,1414помочь не смогли,тех поддержка написала,что запрос отработан ,но Ничего не изменилось. Из за нового района Туран ....В рекламе всё хорошо работает,а на деле,район поменяли а базу не доработали.Как с работы отпрашиваться в ваши очереди в Цон?",1
"Ужас просто, я авторизованна, и не могу зайти уже на протяжении многих дней, нужно проверить информацию и не могу, сняли с учёта ИП или нет. Просто не открывается всё время загрузка идёт. Ужасно. Для чего делали приложение.",1
"Невозможно выполнить вход на телефоне с выдвижной камерой. Камера перед проверкой несколько раз выезжает пока идёт загрузка(зачем?! Зачем идёт тригер несколько раз подряд просто так?!), и на моменте когда нужно сканировать лицо, камера задвинута в корпус, и не возможно себя отсканировать. Как всегда кривые приложения... Устройство Xiaomi Mi 9T",1
"просто 0, максимально ужасная проверка по видео,которую просто невозможно пройти,пыталась сделать это в разных местах,с разным освещением,просто куча времени и нервов потрачено зря, оптимизации также 0, единственное приложении,где я так надолго застряла на этапе авторизации,ужасно",1
"Все приложение это одна сплошная ошибка. Невозможно пользоваться, ничего практически не загружается, а если и загружается то по 5 минут если не больше, то зависает, то вылетает. Дело не в телефоне или в интернете, дело в приложение и в том кто его делал. Ужас одним словом. Удалите приложение совсем.",1
За три года использования приложения никакой положительной динамики. Приложение виснет постоянно. Для получения какой -либо услуги уходит уйма времени. А чаще всего вообще нет результата. Приходится идти в ЦОН. Это кошмар. Зачем вообще создавать настолько отвратительное приложение?!,1
"Просто кал, а не приложение, все время зависает, невозможно нормально получить услугу. На какие-то банальные вещи уходит целая вечность. Вроде создана наоборот упростить жизнь людям, но по видимому проще приехать в цон, простоять очередь и получить услугу оффлайн.",1
"Чтобы пройти регистрацию и не застрять на этапе глюка с камерой, снимаем скриншот qr-кода на этапе глюка, скармливаем его qr-сканеру, переходим по полученной ссылке открывая в привычном на телефоне браузере(Яндекс, мозила фаерфокс, ну либо хром), светим своей рожей, пройдя проверку возвращаемся обратно в егав, и уже в нем завершаем регистрацию ключа. Честно за такую шараду руки бы программистам поотрывать, чтоб не блудили более по клавишам, и не создавали такую проблему.",1
