Date,Value
2012-01-01,6097729.9
2012-04-01,6751271.7
2012-07-01,7999731.0
2012-10-01,10166454.0
2013-01-01,6966935.0
2013-04-01,7533057.2
2013-07-01,9268001.2
2013-10-01,12231031.7
2014-01-01,7933827.5
2014-04-01,8549124.7
2014-07-01,10558035.1
2014-10-01,12634845.6
2015-01-01,8267517.7
2015-04-01,8536900.4
2015-07-01,10632118.6
2015-10-01,13447596.9
2016-01-01,9309090.9
2016-04-01,10047966.0
2016-07-01,11998069.2
2016-10-01,15616023.9
2017-01-01,10431358.0
2017-04-01,11114911.7
2017-07-01,13595795.5
2017-10-01,19236792.6
2018-01-01,11786166.7
2018-04-01,13070952.5
2018-07-01,14909986.5
2018-10-01,22052430.7
2019-01-01,13180857.2
2019-04-01,14727760.9
2019-07-01,16389294.0
2019-10-01,25234714.4
2020-01-01,15093342.4
2020-04-01,13306250.3
2020-07-01,17403662.5
2020-10-01,24845778.0
2021-01-01,15938671.5
2021-04-01,16326765.0
2021-07-01,20763929.2
2021-10-01,30922222.2
2022-01-01,19695592.8
2022-04-01,20338739.8
2022-07-01,25453465.3
2022-10-01,38277720.3
