Date,Value
2010-01-01,33.949
2010-02-01,34.09
2010-03-01,35.828
2010-04-01,37.763
2010-05-01,37.498
2010-06-01,39.292
2010-07-01,41.289
2010-08-01,40.904
2010-09-01,40.298
2010-10-01,40.68
2010-11-01,40.572
2010-12-01,46.006
2011-01-01,40.529
2011-02-01,40.907
2011-03-01,43.46
2011-04-01,43.038
2011-05-01,43.205
2011-06-01,44.469
2011-07-01,47.134
2011-08-01,47.72
2011-09-01,47.216
2011-10-01,48.428
2011-11-01,48.608
2011-12-01,56.304
2012-01-01,47.657
2012-02-01,47.778
2012-03-01,49.979
2012-04-01,49.922
2012-05-01,50.394
2012-06-01,52.158
2012-07-01,53.639
2012-08-01,52.961
2012-09-01,51.592
2012-10-01,52.852
2012-11-01,52.859
2012-12-01,60.528
2013-01-01,52.021
2013-02-01,51.983
2013-03-01,54.96
2013-04-01,55.187
2013-05-01,55.402
2013-06-01,56.388
2013-07-01,58.055
2013-08-01,57.182
2013-09-01,56.095
2013-10-01,57.065
2013-11-01,57.361
2013-12-01,65.734
2014-01-01,56.33
2014-02-01,56.419
2014-03-01,59.929
2014-04-01,60.913
2014-05-01,61.887
2014-06-01,63.025
2014-07-01,64.126
2014-08-01,62.873
2014-09-01,61.956
2014-10-01,63.107
2014-11-01,63.329
2014-12-01,73.362
2015-01-01,61.913
2015-02-01,61.824
2015-03-01,61.77
2015-04-01,66.499
2015-05-01,66.384
2015-06-01,66.32
2015-07-01,68.193
2015-08-01,68.106
2015-09-01,68.053
2015-10-01,72.985
2015-11-01,72.913
2015-12-01,72.895
2016-01-01,71.652
2016-02-01,71.638
2016-03-01,71.549
2016-04-01,76.263
2016-05-01,76.162
2016-06-01,76.084
2016-07-01,76.291
2016-08-01,76.2
2016-09-01,76.097
2016-10-01,82.343
2016-11-01,82.285
2016-12-01,82.339
2017-01-01,79.187
2017-02-01,79.111
2017-03-01,79.013
2017-04-01,82.485
2017-05-01,82.393
2017-06-01,82.307
2017-07-01,83.346
2017-08-01,83.286
2017-09-01,83.161
2017-10-01,90.188
2017-11-01,90.049
2017-12-01,89.992
2018-01-01,86.508
2018-02-01,86.425
2018-03-01,86.299
2018-04-01,91.191
2018-05-01,91.025
2018-06-01,90.96
2018-07-01,94.894
2018-08-01,94.789
2018-09-01,94.706
2018-10-01,100.374
2018-11-01,100.262
2018-12-01,100.184
2019-01-01,97.256
2019-02-01,97.133
2019-03-01,97.005
2019-04-01,103.836
2019-05-01,103.697
2019-06-01,103.634
2019-07-01,105.345
2019-08-01,105.183
2019-09-01,105.081
2019-10-01,111.182
2019-11-01,111.06
2019-12-01,110.971
2020-01-01,111.47
2020-02-01,111.391
2020-03-01,111.484
2020-04-01,113.84
2020-05-01,112.73
2020-06-01,112.186
2020-07-01,113.726
2020-08-01,113.263
2020-09-01,113.18
2020-10-01,127.062
2020-11-01,126.624
2020-12-01,126.551
2021-01-01,121.182
2021-02-01,121.079
2021-03-01,121.087
2021-04-01,128.858
2021-05-01,128.629
2021-06-01,128.6
2021-07-01,129.843
2021-08-01,129.751
2021-09-01,129.631
2021-10-01,142.946
2021-11-01,142.977
2021-12-01,142.805
2022-01-01,145.837
2022-02-01,145.816
2022-03-01,145.892
2022-04-01,157.4
2022-05-01,157.222
2022-06-01,157.099
2022-07-01,154.832
2022-08-01,154.636
2022-09-01,154.509
2022-10-01,170.642
2022-11-01,170.537
2022-12-01,169.776
2023-01-01,171.056
2023-02-01,170.276
2023-03-01,170.091
2023-04-01,181.995
2023-05-01,181.75
2023-06-01,182.2
2023-07-01,180.26
2023-08-01,180.156
2023-09-01,179.909
2023-10-01,182.879
2023-11-01,183.354
2023-12-01,187.1
